Livestock,Area,Year,Value,Flags
"Total beef cattle","West Coast","As at June 30 2013",26242,
"Total beef cattle","West Coast","As at June 30 2014",40777,
"Total beef cattle","West Coast","As at June 30 2015",36547,
"Total beef cattle","West Coast","As at June 30 2016",31902,
"Total beef cattle","West Coast","As at June 30 2017",27422,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 1994",16317,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2002",12404,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2004",11115,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2005",10949,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2006",12365,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2007",10160,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2008",10367,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2010",10822,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2012",7875,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2013",8974,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2014",12164,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2015",14493,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2016",9203,
"Calves born alive to beef heifers/cows","West Coast","As at June 30 2017",9430,
"Total dairy cattle","West Coast","As at June 30 1994",79251,
"Total dairy cattle","West Coast","As at June 30 2002",124640,
"Total dairy cattle","West Coast","As at June 30 2003",122572,
"Total dairy cattle","West Coast","As at June 30 2004",141401,
"Total dairy cattle","West Coast","As at June 30 2005",142370,
"Total dairy cattle","West Coast","As at June 30 2006",148730,
"Total dairy cattle","West Coast","As at June 30 2007",152481,
"Total dairy cattle","West Coast","As at June 30 2008",152869,
"Total dairy cattle","West Coast","As at June 30 2009",179416,
"Total dairy cattle","West Coast","As at June 30 2010",160791,
"Total dairy cattle","West Coast","As at June 30 2011",179308,
"Total dairy cattle","West Coast","As at June 30 2012",173651,
"Total dairy cattle","West Coast","As at June 30 2013",178907,
"Total dairy cattle","West Coast","As at June 30 2014",188417,
"Total dairy cattle","West Coast","As at June 30 2015",182298,
"Total dairy cattle","West Coast","As at June 30 2016",180956,
"Total dairy cattle","West Coast","As at June 30 2017",156204,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 1994",49865,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2002",77340,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2003",75105,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2004",82145,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2005",100636,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2006",95120,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2007",108069,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2008",105366,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2009",113271,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2010",107183,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2011",129272,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2012",115697,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2013",114542,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2014",114519,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2015",122618,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2016",128812,
"Calves born alive to dairy heifers/cows","West Coast","As at June 30 2017",122841,
"Total sheep","West Coast","As at June 30 1994",216544,
"Total sheep","West Coast","As at June 30 2002",92508,
"Total sheep","West Coast","As at June 30 2003",83978,
"Total sheep","West Coast","As at June 30 2004",81941,
"Total sheep","West Coast","As at June 30 2005",74988,
"Total sheep","West Coast","As at June 30 2006",78067,
"Total sheep","West Coast","As at June 30 2007",54094,
"Total sheep","West Coast","As at June 30 2008",43156,
"Total sheep","West Coast","As at June 30 2009",42889,
"Total sheep","West Coast","As at June 30 2010",41523,
"Total sheep","West Coast","As at June 30 2011",34778,
"Total sheep","West Coast","As at June 30 2012",58085,
"Total sheep","West Coast","As at June 30 2013",32876,
"Total sheep","West Coast","As at June 30 2014",58642,
"Total sheep","West Coast","As at June 30 2015",24679,
"Total sheep","West Coast","As at June 30 2016",23148,
"Total sheep","West Coast","As at June 30 2017",40384,
"Total lambs marked and/or tailed","West Coast","As at June 30 1994",164212,
"Total lambs marked and/or tailed","West Coast","As at June 30 2002",85468,
"Total lambs marked and/or tailed","West Coast","As at June 30 2003",74070,
"Total lambs marked and/or tailed","West Coast","As at June 30 2004",76915,
"Total lambs marked and/or tailed","West Coast","As at June 30 2005",72856,
"Total lambs marked and/or tailed","West Coast","As at June 30 2006",67057,
"Total lambs marked and/or tailed","West Coast","As at June 30 2007",47909,
"Total lambs marked and/or tailed","West Coast","As at June 30 2008",41511,
"Total lambs marked and/or tailed","West Coast","As at June 30 2009",46187,
"Total lambs marked and/or tailed","West Coast","As at June 30 2010",42257,
"Total lambs marked and/or tailed","West Coast","As at June 30 2011",29866,
"Total lambs marked and/or tailed","West Coast","As at June 30 2012",47618,
"Total lambs marked and/or tailed","West Coast","As at June 30 2013",31081,
"Total lambs marked and/or tailed","West Coast","As at June 30 2014",57147,
"Total lambs marked and/or tailed","West Coast","As at June 30 2015",27337,
"Total lambs marked and/or tailed","West Coast","As at June 30 2016",23504,
"Total lambs marked and/or tailed","West Coast","As at June 30 2017",37087,
"Total deer","West Coast","As at June 30 1994",25998,
"Total deer","West Coast","As at June 30 2002",33262,
"Total deer","West Coast","As at June 30 2003",35487,
"Total deer","West Coast","As at June 30 2004",43777,
"Total deer","West Coast","As at June 30 2006",48043,
"Total deer","West Coast","As at June 30 2007",41755,
"Total deer","West Coast","As at June 30 2008",34955,
"Total deer","West Coast","As at June 30 2009",40162,
"Total deer","West Coast","As at June 30 2010",32325,
"Total deer","West Coast","As at June 30 2011",30414,
"Total deer","West Coast","As at June 30 2012",34176,
"Total deer","West Coast","As at June 30 2013",32726,
"Total deer","West Coast","As at June 30 2014",31428,
"Total deer","West Coast","As at June 30 2015",29273,
"Total deer","West Coast","As at June 30 2016",28825,
"Total deer","West Coast","As at June 30 2017",28340,
"Fawns weaned","West Coast","As at June 30 1994",8389,
"Fawns weaned","West Coast","As at June 30 2002",14320,
"Fawns weaned","West Coast","As at June 30 2003",16804,
"Fawns weaned","West Coast","As at June 30 2004",20874,
"Fawns weaned","West Coast","As at June 30 2006",20774,
"Fawns weaned","West Coast","As at June 30 2007",18576,
"Fawns weaned","West Coast","As at June 30 2008",15261,
"Fawns weaned","West Coast","As at June 30 2009",16401,
"Fawns weaned","West Coast","As at June 30 2010",14330,
"Fawns weaned","West Coast","As at June 30 2011",13680,
"Fawns weaned","West Coast","As at June 30 2012",12613,
"Fawns weaned","West Coast","As at June 30 2013",,c
"Fawns weaned","West Coast","As at June 30 2014",13179,
"Fawns weaned","West Coast","As at June 30 2015",11217,
"Fawns weaned","West Coast","As at June 30 2016",12141,
"Fawns weaned","West Coast","As at June 30 2017",11821,
"Total pigs","West Coast","As at June 30 1994",2396,
"Total pigs","West Coast","As at June 30 2002",322,
"Total pigs","West Coast","As at June 30 2003",206,
"Total pigs","West Coast","As at June 30 2004",275,
"Total pigs","West Coast","As at June 30 2006",332,
"Total pigs","West Coast","As at June 30 2007",210,
"Total pigs","West Coast","As at June 30 2010",221,
"Total pigs","West Coast","As at June 30 2012",,s
"Total pigs","West Coast","As at June 30 2013",,s
"Total pigs","West Coast","As at June 30 2014",35,
"Total pigs","West Coast","As at June 30 2015",,s
"Total pigs","West Coast","As at June 30 2016",63,
"Total pigs","West Coast","As at June 30 2017",71,
"Piglets weaned","West Coast","As at June 30 2006",375,
"Piglets weaned","West Coast","As at June 30 2007",221,
"Piglets weaned","West Coast","As at June 30 2012",,c
"Piglets weaned","West Coast","As at June 30 2013",,c
"Piglets weaned","West Coast","As at June 30 2014",,i
"Piglets weaned","West Coast","As at June 30 2015",,c
"Piglets weaned","West Coast","As at June 30 2016",36,
"Piglets weaned","West Coast","As at June 30 2017",73,
"Total horses","West Coast","As at June 30 1994",633,
"Total horses","West Coast","As at June 30 2002",536,
"Total horses","West Coast","As at June 30 2003",435,
"Total horses","West Coast","As at June 30 2004",424,
"Total horses","West Coast","As at June 30 2007",320,
"Total horses","West Coast","As at June 30 2009",560,
"Total horses","West Coast","As at June 30 2010",284,
"Total horses","West Coast","As at June 30 2011",288,
"Total horses","West Coast","As at June 30 2012",215,
"Total horses","West Coast","As at June 30 2013",173,
"Total horses","West Coast","As at June 30 2014",303,
"Total horses","West Coast","As at June 30 2015",69,
"Total horses","West Coast","As at June 30 2016",270,
"Total horses","West Coast","As at June 30 2017",164,
"Total beef cattle","Canterbury","As at June 30 1994",452832,
"Total beef cattle","Canterbury","As at June 30 2002",505461,
"Total beef cattle","Canterbury","As at June 30 2003",553846,
"Total beef cattle","Canterbury","As at June 30 2004",532238,
"Total beef cattle","Canterbury","As at June 30 2005",534176,
"Total beef cattle","Canterbury","As at June 30 2006",529952,
"Total beef cattle","Canterbury","As at June 30 2007",584806,
"Total beef cattle","Canterbury","As at June 30 2008",533665,
"Total beef cattle","Canterbury","As at June 30 2009",529467,
"Total beef cattle","Canterbury","As at June 30 2010",486385,
"Total beef cattle","Canterbury","As at June 30 2011",517760,
"Total beef cattle","Canterbury","As at June 30 2012",470746,
"Total beef cattle","Canterbury","As at June 30 2013",492844,
"Total beef cattle","Canterbury","As at June 30 2014",447244,
"Total beef cattle","Canterbury","As at June 30 2015",440598,
"Total beef cattle","Canterbury","As at June 30 2016",465462,
"Total beef cattle","Canterbury","As at June 30 2017",467550,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 1994",116780,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2002",129645,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2004",123588,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2005",127193,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2006",130919,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2007",138348,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2008",136467,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2009",148491,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2010",127807,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2011",148250,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2012",114708,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2013",114808,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2014",118087,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2015",133056,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2016",119998,
"Calves born alive to beef heifers/cows","Canterbury","As at June 30 2017",117305,
"Total dairy cattle","Canterbury","As at June 30 1994",212492,
"Total dairy cattle","Canterbury","As at June 30 2002",542610,
"Total dairy cattle","Canterbury","As at June 30 2003",556339,
"Total dairy cattle","Canterbury","As at June 30 2004",599643,
"Total dairy cattle","Canterbury","As at June 30 2005",604756,
"Total dairy cattle","Canterbury","As at June 30 2006",655676,
"Total dairy cattle","Canterbury","As at June 30 2007",754937,
"Total dairy cattle","Canterbury","As at June 30 2008",831666,
"Total dairy cattle","Canterbury","As at June 30 2009",918480,
"Total dairy cattle","Canterbury","As at June 30 2010",938453,
"Total dairy cattle","Canterbury","As at June 30 2011",1006742,
"Total dairy cattle","Canterbury","As at June 30 2012",1200293,
"Total dairy cattle","Canterbury","As at June 30 2013",1304618,
"Total dairy cattle","Canterbury","As at June 30 2014",1333220,
"Total dairy cattle","Canterbury","As at June 30 2015",1253993,
"Total dairy cattle","Canterbury","As at June 30 2016",1271057,
"Total dairy cattle","Canterbury","As at June 30 2017",1308058,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 1994",123797,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2002",289510,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2003",273222,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2004",291578,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2006",372305,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2007",431739,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2008",469959,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2009",511300,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2010",499969,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2011",553386,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2012",636413,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2013",635604,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2014",658353,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2015",712034,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2016",873430,
"Calves born alive to dairy heifers/cows","Canterbury","As at June 30 2017",943423,
"Total sheep","Canterbury","As at June 30 1994",9747488,
"Total sheep","Canterbury","As at June 30 2002",7758336,
"Total sheep","Canterbury","As at June 30 2003",7969929,
"Total sheep","Canterbury","As at June 30 2004",7499728,
"Total sheep","Canterbury","As at June 30 2005",7602271,
"Total sheep","Canterbury","As at June 30 2006",7463075,
"Total sheep","Canterbury","As at June 30 2007",7166822,
"Total sheep","Canterbury","As at June 30 2008",6063300,
"Total sheep","Canterbury","As at June 30 2009",5504718,
"Total sheep","Canterbury","As at June 30 2010",5652101,
"Total sheep","Canterbury","As at June 30 2011",5569215,
"Total sheep","Canterbury","As at June 30 2012",5348010,
"Total sheep","Canterbury","As at June 30 2013",5222094,
"Total sheep","Canterbury","As at June 30 2014",4966905,
"Total sheep","Canterbury","As at June 30 2015",4501137,
"Total sheep","Canterbury","As at June 30 2016",4584936,
"Total sheep","Canterbury","As at June 30 2017",4473916,
"Total lambs marked and/or tailed","Canterbury","As at June 30 1994",6872162,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2002",5694585,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2003",6201709,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2004",5701971,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2005",5785653,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2006",5982712,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2007",5493274,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2008",5256713,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2009",4533221,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2010",4471896,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2011",4062620,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2012",3922980,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2013",3878738,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2014",3893876,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2015",3641615,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2016",3525597,
"Total lambs marked and/or tailed","Canterbury","As at June 30 2017",3475402,
"Total deer","Canterbury","As at June 30 1994",258980,
"Total deer","Canterbury","As at June 30 2002",411581,
"Total deer","Canterbury","As at June 30 2003",439501,
"Total deer","Canterbury","As at June 30 2004",453336,
"Total deer","Canterbury","As at June 30 2005",482605,
"Total deer","Canterbury","As at June 30 2006",465055,
"Total deer","Canterbury","As at June 30 2007",394833,
"Total deer","Canterbury","As at June 30 2008",340882,
"Total deer","Canterbury","As at June 30 2009",323257,
"Total deer","Canterbury","As at June 30 2010",319907,
"Total deer","Canterbury","As at June 30 2011",305960,
"Total deer","Canterbury","As at June 30 2012",291783,
"Total deer","Canterbury","As at June 30 2013",287603,
"Total deer","Canterbury","As at June 30 2014",253234,
"Total deer","Canterbury","As at June 30 2015",243121,
"Total deer","Canterbury","As at June 30 2016",232947,
"Total deer","Canterbury","As at June 30 2017",238633,
"Fawns weaned","Canterbury","As at June 30 1994",78488,
"Fawns weaned","Canterbury","As at June 30 2002",157989,
"Fawns weaned","Canterbury","As at June 30 2003",165972,
"Fawns weaned","Canterbury","As at June 30 2004",174679,
"Fawns weaned","Canterbury","As at June 30 2005",172631,
"Fawns weaned","Canterbury","As at June 30 2006",156933,
"Fawns weaned","Canterbury","As at June 30 2007",144686,
"Fawns weaned","Canterbury","As at June 30 2008",132945,
"Fawns weaned","Canterbury","As at June 30 2009",123264,
"Fawns weaned","Canterbury","As at June 30 2010",115525,
"Fawns weaned","Canterbury","As at June 30 2011",114981,
"Fawns weaned","Canterbury","As at June 30 2012",111195,
"Fawns weaned","Canterbury","As at June 30 2013",104187,
"Fawns weaned","Canterbury","As at June 30 2014",95527,
"Fawns weaned","Canterbury","As at June 30 2015",89532,
"Fawns weaned","Canterbury","As at June 30 2016",83489,
"Fawns weaned","Canterbury","As at June 30 2017",85584,
"Total pigs","Canterbury","As at June 30 1994",151681,
"Total pigs","Canterbury","As at June 30 2002",151701,
"Total pigs","Canterbury","As at June 30 2003",179479,
"Total pigs","Canterbury","As at June 30 2004",190423,
"Total pigs","Canterbury","As at June 30 2005",189427,
"Total pigs","Canterbury","As at June 30 2006",187688,
"Total pigs","Canterbury","As at June 30 2007",202008,
"Total pigs","Canterbury","As at June 30 2008",177306,
"Total pigs","Canterbury","As at June 30 2009",163878,
"Total pigs","Canterbury","As at June 30 2010",177524,
"Total pigs","Canterbury","As at June 30 2011",176693,
"Total pigs","Canterbury","As at June 30 2012",168815,
"Total pigs","Canterbury","As at June 30 2013",178940,
"Total pigs","Canterbury","As at June 30 2014",165340,
"Total pigs","Canterbury","As at June 30 2015",147713,
"Total pigs","Canterbury","As at June 30 2016",139380,
"Total pigs","Canterbury","As at June 30 2017",173039,
"Piglets weaned","Canterbury","As at June 30 2003",407131,
"Piglets weaned","Canterbury","As at June 30 2004",409138,
"Piglets weaned","Canterbury","As at June 30 2005",425658,
"Piglets weaned","Canterbury","As at June 30 2006",419076,
"Piglets weaned","Canterbury","As at June 30 2007",441909,
"Piglets weaned","Canterbury","As at June 30 2008",444857,
"Piglets weaned","Canterbury","As at June 30 2009",397023,
"Piglets weaned","Canterbury","As at June 30 2010",393458,
"Piglets weaned","Canterbury","As at June 30 2011",426750,
"Piglets weaned","Canterbury","As at June 30 2012",416401,
"Piglets weaned","Canterbury","As at June 30 2013",390826,
"Piglets weaned","Canterbury","As at June 30 2014",377326,
"Piglets weaned","Canterbury","As at June 30 2015",350890,
"Piglets weaned","Canterbury","As at June 30 2016",321802,
"Piglets weaned","Canterbury","As at June 30 2017",399676,
"Total horses","Canterbury","As at June 30 1994",10673,
"Total horses","Canterbury","As at June 30 2002",13251,
"Total horses","Canterbury","As at June 30 2003",13937,
"Total horses","Canterbury","As at June 30 2004",14303,
"Total horses","Canterbury","As at June 30 2007",13333,
"Total horses","Canterbury","As at June 30 2008",11755,
"Total horses","Canterbury","As at June 30 2009",13406,
"Total horses","Canterbury","As at June 30 2010",14421,
"Total horses","Canterbury","As at June 30 2011",12149,
"Total horses","Canterbury","As at June 30 2012",11386,
"Total horses","Canterbury","As at June 30 2013",11437,
"Total horses","Canterbury","As at June 30 2014",9172,
"Total horses","Canterbury","As at June 30 2015",8342,
"Total horses","Canterbury","As at June 30 2016",6781,
"Total horses","Canterbury","As at June 30 2017",8055,
"Total beef cattle","Otago","As at June 30 1994",270422,
"Total beef cattle","Otago","As at June 30 2002",267091,
"Total beef cattle","Otago","As at June 30 2003",272551,
"Total beef cattle","Otago","As at June 30 2004",259911,
"Total beef cattle","Otago","As at June 30 2005",281842,
"Total beef cattle","Otago","As at June 30 2006",278269,
"Total beef cattle","Otago","As at June 30 2007",292355,
"Total beef cattle","Otago","As at June 30 2008",291234,
"Total beef cattle","Otago","As at June 30 2009",291585,
"Total beef cattle","Otago","As at June 30 2010",280997,
"Total beef cattle","Otago","As at June 30 2011",268322,
"Total beef cattle","Otago","As at June 30 2012",290398,
"Total beef cattle","Otago","As at June 30 2013",276545,
"Total beef cattle","Otago","As at June 30 2014",293251,
"Total beef cattle","Otago","As at June 30 2015",272686,
"Total beef cattle","Otago","As at June 30 2016",256178,
"Total beef cattle","Otago","As at June 30 2017",262823,
"Calves born alive to beef heifers/cows","Otago","As at June 30 1994",79033,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2002",87631,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2003",86202,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2004",84386,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2005",85541,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2006",84185,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2007",89557,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2008",94703,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2009",90369,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2010",88715,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2011",84013,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2012",88204,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2013",85238,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2014",88056,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2015",91091,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2016",81574,
"Calves born alive to beef heifers/cows","Otago","As at June 30 2017",79374,
"Total dairy cattle","Otago","As at June 30 1994",82173,
"Total dairy cattle","Otago","As at June 30 2002",204802,
"Total dairy cattle","Otago","As at June 30 2003",181484,
"Total dairy cattle","Otago","As at June 30 2004",174253,
"Total dairy cattle","Otago","As at June 30 2005",161616,
"Total dairy cattle","Otago","As at June 30 2006",180734,
"Total dairy cattle","Otago","As at June 30 2007",218264,
"Total dairy cattle","Otago","As at June 30 2008",232905,
"Total dairy cattle","Otago","As at June 30 2009",257049,
"Total dairy cattle","Otago","As at June 30 2010",262417,
"Total dairy cattle","Otago","As at June 30 2011",307817,
"Total dairy cattle","Otago","As at June 30 2012",336278,
"Total dairy cattle","Otago","As at June 30 2013",367292,
"Total dairy cattle","Otago","As at June 30 2014",376743,
"Total dairy cattle","Otago","As at June 30 2015",384979,
"Total dairy cattle","Otago","As at June 30 2016",312087,
"Total dairy cattle","Otago","As at June 30 2017",333850,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 1994",49464,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2002",113032,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2003",110816,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2004",110064,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2005",107576,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2006",123289,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2007",139107,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2008",148054,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2009",150944,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2010",172689,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2011",180604,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2012",187652,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2013",180778,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2014",222327,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2015",192396,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2016",202828,
"Calves born alive to dairy heifers/cows","Otago","As at June 30 2017",223745,
"Total sheep","Otago","As at June 30 1994",7635968,
"Total sheep","Otago","As at June 30 2002",6120918,
"Total sheep","Otago","As at June 30 2003",5945247,
"Total sheep","Otago","As at June 30 2004",5901789,
"Total sheep","Otago","As at June 30 2005",6185038,
"Total sheep","Otago","As at June 30 2006",5998440,
"Total sheep","Otago","As at June 30 2007",6031166,
"Total sheep","Otago","As at June 30 2008",5343380,
"Total sheep","Otago","As at June 30 2009",5281730,
"Total sheep","Otago","As at June 30 2010",5323860,
"Total sheep","Otago","As at June 30 2011",5203236,
"Total sheep","Otago","As at June 30 2012",5342846,
"Total sheep","Otago","As at June 30 2013",5325322,
"Total sheep","Otago","As at June 30 2014",5257716,
"Total sheep","Otago","As at June 30 2015",5120190,
"Total sheep","Otago","As at June 30 2016",4818842,
"Total sheep","Otago","As at June 30 2017",4586781,
"Total lambs marked and/or tailed","Otago","As at June 30 1994",5754276,
"Total lambs marked and/or tailed","Otago","As at June 30 2002",5180236,
"Total lambs marked and/or tailed","Otago","As at June 30 2003",5045625,
"Total lambs marked and/or tailed","Otago","As at June 30 2004",4919572,
"Total lambs marked and/or tailed","Otago","As at June 30 2005",5156203,
"Total lambs marked and/or tailed","Otago","As at June 30 2006",5046137,
"Total lambs marked and/or tailed","Otago","As at June 30 2007",5133958,
"Total lambs marked and/or tailed","Otago","As at June 30 2008",4861576,
"Total lambs marked and/or tailed","Otago","As at June 30 2009",4616461,
"Total lambs marked and/or tailed","Otago","As at June 30 2010",4732952,
"Total lambs marked and/or tailed","Otago","As at June 30 2011",4196935,
"Total lambs marked and/or tailed","Otago","As at June 30 2012",4661926,
"Total lambs marked and/or tailed","Otago","As at June 30 2013",4636953,
"Total lambs marked and/or tailed","Otago","As at June 30 2014",4726498,
"Total lambs marked and/or tailed","Otago","As at June 30 2015",4545324,
"Total lambs marked and/or tailed","Otago","As at June 30 2016",4403883,
"Total lambs marked and/or tailed","Otago","As at June 30 2017",4198596,
"Total deer","Otago","As at June 30 1994",91414,
"Total deer","Otago","As at June 30 2002",196703,
"Total deer","Otago","As at June 30 2003",195306,
"Total deer","Otago","As at June 30 2004",206434,
"Total deer","Otago","As at June 30 2005",198704,
"Total deer","Otago","As at June 30 2006",192790,
"Total deer","Otago","As at June 30 2007",188103,
"Total deer","Otago","As at June 30 2008",166856,
"Total deer","Otago","As at June 30 2009",166424,
"Total deer","Otago","As at June 30 2010",168696,
"Total deer","Otago","As at June 30 2011",161911,
"Total deer","Otago","As at June 30 2012",153224,
"Total deer","Otago","As at June 30 2013",143235,
"Total deer","Otago","As at June 30 2014",138933,
"Total deer","Otago","As at June 30 2015",126191,
"Total deer","Otago","As at June 30 2016",112240,
"Total deer","Otago","As at June 30 2017",115730,
"Fawns weaned","Otago","As at June 30 1994",27579,
"Fawns weaned","Otago","As at June 30 2002",84648,
"Fawns weaned","Otago","As at June 30 2003",86416,
"Fawns weaned","Otago","As at June 30 2004",86235,
"Fawns weaned","Otago","As at June 30 2005",81395,
"Fawns weaned","Otago","As at June 30 2006",82350,
"Fawns weaned","Otago","As at June 30 2007",78023,
"Fawns weaned","Otago","As at June 30 2008",75456,
"Fawns weaned","Otago","As at June 30 2009",69545,
"Fawns weaned","Otago","As at June 30 2010",69557,
"Fawns weaned","Otago","As at June 30 2011",69884,
"Fawns weaned","Otago","As at June 30 2012",66470,
"Fawns weaned","Otago","As at June 30 2013",62368,
"Fawns weaned","Otago","As at June 30 2014",65527,
"Fawns weaned","Otago","As at June 30 2015",53079,
"Fawns weaned","Otago","As at June 30 2016",48082,
"Fawns weaned","Otago","As at June 30 2017",45676,
"Total pigs","Otago","As at June 30 1994",25531,
"Total pigs","Otago","As at June 30 2002",14910,
"Total pigs","Otago","As at June 30 2003",17545,
"Total pigs","Otago","As at June 30 2004",19893,
"Total pigs","Otago","As at June 30 2005",15123,
"Total pigs","Otago","As at June 30 2006",11955,
"Total pigs","Otago","As at June 30 2007",18709,
"Total pigs","Otago","As at June 30 2008",13001,
"Total pigs","Otago","As at June 30 2009",14638,
"Total pigs","Otago","As at June 30 2010",11248,
"Total pigs","Otago","As at June 30 2011",8490,
"Total pigs","Otago","As at June 30 2012",11041,
"Total pigs","Otago","As at June 30 2013",11052,
"Total pigs","Otago","As at June 30 2014",13309,
"Total pigs","Otago","As at June 30 2015",11232,
"Total pigs","Otago","As at June 30 2016",11768,
